Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-11 15:52:34,SK Global,a,0UD6I20P+W7W,6530300200622000529,3.00,58.00,5.03,OK,3.00,5.40,0.10,NG,1.86,OK,NG
2020-08-11 15:54:28,SK Global,a,0UD6I20R8W7W,6530300200622000505,3.00,58.00,0.01,NG,3.00,5.40,0.04,NG,2.19,OK,NG
2020-08-11 15:59:53,SK Global,a,0UD6I20R4W7W,6530300200622000532,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.50,OK,NG
2020-08-11 16:11:37,SK Global,a,0UD6I20R5W7W,6530300200622000508,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,2.33,OK,NG
2020-08-11 16:15:44,SK Global,a,0UD6I20P-W7W,6530300200622000540,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.32,OK,NG
2020-08-11 16:49:28,SK Global,a,0UD6I20PSW7W,6530300200622000551,3.00,58.00,0.04,NG,3.00,5.40,0.05,NG,2.30,OK,NG
2020-08-11 16:51:16,SK Global,a,0UD6I20PYW7W,6530300200622000548,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.16,OK,NG
2020-08-11 16:59:40,SK Global,a,0UD6I20PUW7W,6530300200622000526,3.00,58.00,0.07,NG,3.00,5.40,0.06,NG,2.23,OK,NG
2020-08-11 17:06:24,SK Global,a,0UD6I20J7W7W,6530300200622000554,3.00,58.00,0.10,NG,3.00,5.40,0.04,NG,2.23,OK,NG
2020-08-11 17:10:31,SK Global,a,0UD6I20R2W7W,6530300200622000535,3.00,58.00,0.00,NG,3.00,5.40,0.04,NG,2.37,OK,NG
2020-08-11 17:12:13,SK Global,a,0UD6I20R1W7W,6530300200622000517,3.00,58.00,0.05,NG,3.00,5.40,0.05,NG,2.42,OK,NG
2020-08-11 17:18:08,SK Global,a,0UD6I20LVW7W,6530300200622000520,3.00,58.00,0.03,NG,3.00,5.40,0.04,NG,2.08,OK,NG
2020-08-11 17:28:28,SK Global,a,0UD6I20J-W7W,6530300200622000581,3.00,58.00,0.05,NG,3.00,5.40,0.05,NG,2.29,OK,NG
2020-08-11 17:30:27,SK Global,a,0UD6I20J8W7W,6530300200622000578,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.41,OK,NG
2020-08-11 17:32:16,SK Global,a,0UD6I20J4W7W,6530300200622000557,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.08,OK,NG
2020-08-11 17:41:41,SK Global,a,0UD6I20J5W7W,6530300200622000563,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.36,OK,NG
2020-08-11 17:43:17,SK Global,a,0UD6I20R-W7W,6530300200622000572,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,2.40,OK,NG
