Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-03 11:01:11,SK Medium,a,0UD8I201+W7W,6003103-U8211-N0P0000130211,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,1.00,OK,NG
2020-08-03 11:08:38,SK Medium,a,0UD8I201VW7W,555006003103A4P973076D09019-08-10TM035HFHP30-01,3.00,58.00,0.01,NG,3.00,5.40,0.02,NG,0.94,OK,NG
2020-08-03 12:41:42,SK Medium,a,0UD8I201+W7W,6003103-U8211-N0P0000130211,3.00,58.00,-0.01,NG,3.00,5.40,0.02,NG,1.00,OK,NG
2020-08-03 14:19:51,SK Medium,a,0UD8I201+W7W,555006003103A4P973090W10019-08-11TM035HFHP30-01,3.00,58.00,0.03,NG,3.00,5.40,0.03,NG,0.95,OK,NG
2020-08-03 14:36:46,SK Medium,a,0UD8I201+W7W,555006003103A4P973090W10019-08-11TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.95,OK,NG
2020-08-03 15:08:07,SK Medium,a,0UD8I201+W7W,555006003103A4P973090W10019-08-11TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,0.94,OK,NG
2020-08-03 16:57:22,SK Medium,a,0UD8I201VW7W,555006003103A4P973076D09019-08-10TM035HFHP30-01,3.00,58.00,-0.03,NG,3.00,5.40,-0.00,NG,0.94,OK,NG
2020-08-03 17:53:18,SK Medium,a,0UD8I20BEW7W,6003103-U8211-N0P0002830211,3.00,58.00,0.07,NG,3.00,5.40,0.03,NG,0.99,OK,NG
2020-08-03 18:55:36,SK Medium,a,0UD8I205ZW7W,6003103-U8211-N0P0000850211,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,1.01,OK,NG
2020-08-03 19:07:31,SK Medium,a,0UD8I206FW7W,6003103-U8211-N0P0002860211,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,0.98,OK,NG
2020-08-03 19:16:58,SK Medium,a,0UD8I206EW7W,6003103-U8211-N0P0000880211,3.00,58.00,0.05,NG,3.00,5.40,0.10,NG,1.00,OK,NG
2020-08-03 19:28:30,SK Medium,a,0UD8I206EW7W,6003103-U8211-N0P0000790211,3.00,58.00,0.09,NG,3.00,5.40,0.05,NG,0.99,OK,NG
2020-08-03 19:37:57,SK Medium,a,0UD8I20BDW7W,6003103-U8211-N0P0000210211,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.00,OK,NG
