Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
2020-08-13 14:17:11,VW Medium,a,0UDKI20FEW7W,555006003103A4P043078Y00520-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.32,OK,NG
2020-08-13 14:23:21,VW Medium,a,0UDKI20FDW7W,555006003103A4P043068Q07320-06-29TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.24,OK,NG
2020-08-13 14:32:44,VW Medium,a,0UDKI20G4W7W,555006003103A4P043059Y06720-06-30TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.23,OK,NG
2020-08-13 14:34:06,VW Medium,a,0UDKI20G5W7W,555006003103A4P043046U01020-06-30TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.23,OK,NG
2020-08-13 14:40:42,VW Medium,a,0UDKI20GNW7W,555006003103A4P043048N05720-06-30TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,1.69,OK,NG
2020-08-13 14:46:40,VW Medium,a,0UDKI206SW7W,555006003103A4P043059X00620-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.05,NG,1.25,OK,NG
2020-08-13 14:59:03,VW Medium,a,0UDKI20F8W7W,555006003103A4P043046C04620-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.04,NG,1.06,OK,NG
2020-08-13 15:01:09,VW Medium,a,0UDKI20FYW7W,555006003103A4P043046U04420-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.48,OK,NG
2020-08-13 15:11:09,VW Medium,a,0UDKI20FXW7W,555006003103A4P043048T04220-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,0.93,OK,NG
2020-08-13 15:32:16,VW Medium,a,0UDKI20CNW7W,555006003103A4P043046Q03320-06-30TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.03,NG,1.28,OK,NG
2020-08-13 15:34:58,VW Medium,a,0UDKI20CSW7W,555006003103A4P043048L07220-06-29TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.09,OK,NG
2020-08-13 15:37:45,VW Medium,a,0UDKI20FGW7W,555006003103A4P043046H03920-06-30TM035HFHP30-01,3.00,58.00,0.12,NG,3.00,5.40,0.04,NG,1.30,OK,NG
2020-08-13 15:54:54,VW Medium,a,0UDKI20CJW7W,555006003103A4P043051Z07420-06-30TM035HFHP30-01,3.00,58.00,0.05,NG,3.00,5.40,0.04,NG,1.66,OK,NG
2020-08-13 15:58:02,VW Medium,a,0UDKI200+T7W,555006003103A4P043046R04320-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.06,NG,1.47,OK,NG
2020-08-13 15:59:53,VW Medium,a,0UDKI2010T7W,555006003103A4P043046H01220-06-30TM035HFHP30-01,3.00,58.00,0.06,NG,3.00,5.40,0.03,NG,0.83,OK,NG
2020-08-13 16:28:26,VW Medium,a,0UDKI20FUW7W,555006003103A4P043048W08420-06-30TM035HFHP30-01,3.00,58.00,0.04,NG,3.00,5.40,0.03,NG,1.66,OK,NG
