Sr.No.,Model Name,Date,Time,Keypad Max Value (AI0) ,Keypad Min Value (AI0) ,Keypad Actual Value (AI0) ,Keypad Max Value (AI1) ,Keypad Min Value (AI1) ,Keypad Actual Value (AI1) ,Camera Co-ordinate Max Value,Camera Co-ordinate Min Value,Camera Co-ordinate Actual Value,MIC Code,TFT Display Code,Status
,Medium,15-07-2020 ,14:28:43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,14:35:43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,14:36:59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,14:39:04,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,14:52:59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,14:58:17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:17:16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:24:57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:26:48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:27:51,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:43:44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:45:54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:48:05,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:50:05,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,15:51:49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,16:54:31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,16:57:42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,18:48:34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,20:24:08,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,20:26:40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,20:39:48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,20:54:26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,21:08:39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,22:21:32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
,Medium,15-07-2020 ,22:24:52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.5,0.800,,,,
