Sr.No.,Model Name,Date,Time,Model Pass/Fail ,MIC Code,Clip-1,Clip-2,Clip-3,Clip-4,Status
,SK Global,08-08-2020 ,20:26:38,Pass,0UD6I20IDW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,20:35:21,Pass,0UD6I20MGW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,20:36:45,Pass,0UD6I20MGW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,20:39:11,Pass,0UD6I20MGW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,20:42:40,Pass,0UD6I20MGW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,20:48:17,Pass,0UD6I20MGW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,20:52:50,Pass,0UD6I20NUW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:03:22,Pass,0UD6I20K5W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:13:58,Fail,0UD6I20I4W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:15:38,Pass,0UD6I20I4W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:23:34,Pass,0UD6I20IBW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:30:23,Pass,0UD6I20I7W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:34:08,Pass,0UD6I20HYW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:38:27,Pass,0UD6I20K8W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:41:38,Pass,0UD6I20MAW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:48:22,Pass,0UD6I20K7W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:54:00,Fail,0UD6I20I8W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:55:25,Fail,0UD6I20I8W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,21:57:14,Pass,0UD6I20I8W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,22:00:28,Pass,0UD6I20MDW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,22:06:37,Fail,,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,22:08:01,Pass,0UD6I20IEW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,08-08-2020 ,22:09:17,Pass,0UD6I20IEW7W
,Pass,Pass,Pass,Pass,Pass
