Sr.No.,Model Name,Date,Time,Model Pass/Fail ,MIC Code,Clip-1,Clip-2,Clip-3,Clip-4,Status
,SK Global,12-08-2020 ,00:42:44,Pass,0UD6I20IVW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,00:46:18,Pass,0UD6I20NYW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,00:53:17,Pass,0UD6I20R-W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,00:59:18,Pass,0UD6I20LVW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,01:04:10,Pass,0UD6I20R1W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,01:08:03,Pass,0UD6I20R2W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,01:15:14,Fail,0UD6I20PEW7W
,Pass,Pass,Pass,Pass,Fail
,SK Global,12-08-2020 ,01:20:30,Pass,0UD6I20PEW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,16:44:23,Pass,0UD6I20P2W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,16:51:25,Pass,0UD6I20PDW7W
,Pass,Pass,Pass,Fail,Fail
,SK Global,12-08-2020 ,16:53:12,Pass,0UD6I20PDW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,17:00:10,Pass,0UD6I20M8W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,17:05:36,Pass,0UD6I20P4W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,17:08:47,Pass,0UD6I20P8W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,17:13:23,Fail,0UD6I20P5W7W
,Pass,Pass,Pass,Pass,Fail
,SK Global,12-08-2020 ,17:16:24,Pass,0UD6I20P5W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,17:24:03,Pass,0UD6I20PGW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,17:39:23,Pass,0UD6I20KNW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,17:47:01,Fail,,Pass,Pass,Pass,Fail,Fail
,SK Global,12-08-2020 ,17:49:37,Pass,0UD6I20PHW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:12:12,Fail,0UD6I20N+W7W
,Pass,Pass,Pass,Pass,Fail
,SK Global,12-08-2020 ,18:14:04,Pass,0UD6I20N+W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:18:14,Pass,0UD6I20P2W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:28:10,Pass,0UD6I20RHW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:31:24,Pass,0UD6I20LUW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:37:11,Pass,0UD6I20M7W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:41:10,Pass,0UD6I20J-W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:44:39,Pass,0UD6I20J8W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:49:09,Fail,0UD6I20J4W7W
,Pass,Pass,Pass,Pass,Fail
,SK Global,12-08-2020 ,18:50:54,Pass,0UD6I20J4W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:56:02,Pass,0UD6I20R5W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,18:59:24,Pass,0UD6I20PYW7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,19:03:06,Pass,0UD6I20J7W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,19:07:18,Pass,0UD6I20P-W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,19:10:51,Pass,0UD6I20R4W7W
,Pass,Pass,Pass,Pass,Pass
,SK Global,12-08-2020 ,19:15:38,Pass,0UD6I20P+W7W
,Pass,Pass,Fail,Pass,Fail
,SK Global,12-08-2020 ,19:19:46,Pass,0UD6I20P+W7W
,Pass,Pass,Pass,Pass,Pass
