Sr.No.,Model Name,Date,Time,Model Pass/Fail ,MIC Code,Clip-1,Clip-2,Clip-3,Clip-4,Status
,SK Medium,06-08-2020,00:30:27,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,00:40:47,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,12:55:35,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,13:06:29,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,13:26:43,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,14:03:12,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,14:06:05,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,14:22:00,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,14:25:39,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,14:41:47,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,14:46:37,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,14:52:24,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,14:57:23,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,15:07:33,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,15:16:50,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,15:35:56,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,16:57:27,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:02:45,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:03:47,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:04:38,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:05:27,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:06:49,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:07:47,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:08:36,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:09:20,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:10:33,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:11:22,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:12:10,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:13:04,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:17:07,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:17:55,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:19:03,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:19:49,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:20:34,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:21:21,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,17:22:07,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,18:17:32,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,18:18:17,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,18:18:58,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,18:22:29,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,18:23:12,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,18:32:28,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,18:33:13,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,18:34:02,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,19:34:21,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,19:55:31,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,19:56:13,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,19:56:56,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,19:57:39,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,21:39:37,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,21:40:21,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,21:48:17,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,21:49:22,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,21:58:00,Pass,,Pass,Pass,Pass,Pass,Pass
,SK Medium,06-08-2020,21:58:45,Pass,,Pass,Pass,Pass,Pass,Pass
