Sr.No.,Model Name,Date,Time,Model Pass/Fail ,MIC Code,Clip-1,Clip-2,Clip-3,Clip-4,Status
,SK Medium,07-08-2020 ,15:42:06,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,15:42:50,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,15:44:18,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,15:45:14,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,15:52:01,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:06:36,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:11:18,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:13:40,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:21:10,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:26:44,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:29:42,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:31:58,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:35:48,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:42:12,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:45:04,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:48:41,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,16:52:31,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,17:00:11,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,17:02:01,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,17:04:51,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,17:09:39,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,17:13:10,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,19:32:08,Pass,Fail,Fail,Fail,Fail,Pass
,SK Medium,07-08-2020 ,20:32:31,Pass,0UD8I205EW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,20:37:34,Pass,0UD8I20A-W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,20:42:21,Pass,0UD8I201KW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,20:46:35,Pass,0UD8I20B-W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,20:51:14,Pass,0UD8I2075W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,21:24:08,Fail,0UD8I20AAW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,21:25:37,Fail,0UD8I20AAW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,21:27:45,Pass,0UD8I20AAW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,21:31:09,Pass,0UD8I2065W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,21:32:28,Pass,0UD8I2065W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,21:35:07,Pass,0UD8I2065W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,21:56:03,Pass,0UD8I20B+W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,22:04:57,Pass,0UD8I20ARW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,22:12:08,Pass,0UD8I20BUW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,22:16:06,Pass,0UD8I2052W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,22:20:08,Fail,0UD8I20BHW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,22:23:49,Fail,0UD8I20BHW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,22:27:56,Pass,0UD8I20BHW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,07-08-2020 ,22:50:56,Pass,0UD8I2049W7W
,Pass,Pass,Pass,Pass,Pass
