Sr.No.,Model Name,Date,Time,Model Pass/Fail ,MIC Code,Clip-1,Clip-2,Clip-3,Clip-4,Status
,SK Medium,08-08-2020 ,22:36:41,Pass,0UD8I20BSW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,22:46:49,Fail,0UD8I20AHW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,22:49:17,Pass,0UD8I20AHW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,22:52:38,Pass,0UD8I20B5W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,22:55:18,Pass,0UD8I203WW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,22:58:13,Pass,0UD8I2045W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:05:16,Pass,0UD8I209UW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:09:48,Pass,0UD8I20AYW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:15:03,Pass,0UD8I2058W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:16:22,Fail,0UD8I2045W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:17:53,Pass,0UD8I2045W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:34:23,Pass,0UD8I2048W7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:42:10,Pass,0UD8I207MW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:45:27,Pass,0UD8I20BKW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:52:49,Fail,0UD8I203TW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:56:12,Pass,0UD8I203TW7W
,Pass,Pass,Pass,Pass,Pass
,SK Medium,08-08-2020 ,23:59:32,Pass,0UD8I209+W7W
,Pass,Pass,Pass,Pass,Pass
