DateTime,User Name,Running Model,Barcode,Clip Status,Torque1(Nm),Torque2(Nm),Torque3(Nm),Torque4(Nm),Height1(mm),Height2(mm),Height3(mm),Height4(mm),Height1Status,Height2Status,Height3Status,Height4Status
10-07-2020  18:57:21,,Global,,,,,,NG,NG
10-07-2020  18:58:46,,Global,0T73I201+T5W
,0.9 ,0.9 ,0.9 ,,OK,NG
10-07-2020  19:01:23,,Global,0T73I201+T5W
,0.9 ,,,,OK,NG
10-07-2020  19:03:44,,Global,,,,,,NG,NG
10-07-2020  19:05:14,,Global,0T73I201+T5W
,0.9 ,,,,OK,NG
10-07-2020  19:08:11,,Global,0T73I201+T5W
,0.1 ,,,,OK,NG
10-07-2020  19:09:43,,Global,0T73I201+T5W
,0.1 ,,,,OK,NG
10-07-2020  19:11:33,,Global,0T73I201+T5W
,0.9 ,0.9 ,0.9 ,0.9 ,12.51,9.02,11.24,10.01,OK,NG
10-07-2020  19:19:03,,Global,0T73I201+T5W
,,,,,12.51,9.02,11.24,10.01,OK,NG
10-07-2020  19:21:24,,Global,0T73I201+T5W
,,,,,12.51,9.02,11.24,10.01,OK,NG
10-07-2020  22:46:37,,Global,0T73I201+T5W
,0.9 ,0.9 ,0.1 ,,OK,NG
11-07-2020  15:52:23,,Global,0T73I201+T5W
,0.2 ,,,,OK,NG
11-07-2020  15:54:45,,Global,0T73I201+T5W
,0.3 ,,,,OK,NG
11-07-2020  15:56:49,,Global,,,,,,OK,NG
11-07-2020  16:03:51,,Global,0T73I201+T5W
,0.9 ,0.9 ,0.9 ,,OK,NG
11-07-2020  16:09:53,,Global,0T73I201+T5W
,,,,,10.85,9.14,11.10,9.94,OK,OK
11-07-2020  16:14:16,,Global,,,,,,10.85,9.14,11.10,9.94,NG,OK
11-07-2020  16:17:17,,Global,0T73I201+T5W
,,,,,10.85,9.14,11.10,9.94,OK,OK
11-07-2020  16:23:00,,Global,0T73I201+T5W
,0.9 ,,,,10.85,9.14,11.10,9.94,OK,OK
11-07-2020  17:39:38,,Global,0T73I201+T5W
,,,,,OK,NG
11-07-2020  17:43:52,,Global,0T73I201+T5W
,,,,,OK,NG
11-07-2020  17:51:04,,Global,,,,,,OK,NG
11-07-2020  18:05:14,,Global,0T73I201+T5W
,0.9 ,0.9 ,,,OK,NG
11-07-2020  18:19:53,,Global,0T73I201+T5W
,0.1 ,,,,10.95,9.26,11.26,10.80,OK,OK
11-07-2020  18:28:38,,Global,0T73I201+T5W
,0.9 ,0.9 ,0.9 ,,OK,NG
13-07-2020  15:11:42,,Global,,,,,,OK,NG
13-07-2020  15:16:41,,Global,,,,,,OK,NG
13-07-2020  15:17:30,,Global,,,,,,OK,NG
13-07-2020  15:30:29,,Global,,,,,,OK,NG
13-07-2020  16:20:44,,Global,0T73I201+T5W
,0.9 ,0.9 ,0.1 ,,OK,NG
13-07-2020  16:22:09,,Global,,,,,,NG,NG
13-07-2020  16:23:17,,Global,0T73I201+T5W
,0.9 ,0.9 ,0.1 ,,OK,NG
13-07-2020  16:26:17,,Global,0T73I201+T5W
,0.9 ,,,,OK,NG
13-07-2020  16:27:59,,Global,0T73I201+T5W
,0.9 ,0.9 ,0.9 ,,OK,NG
13-07-2020  19:32:20,,Global,0T73I201+T5W
,0.9 ,,,,OK,NG
13-07-2020  19:33:34,,Global,0T73I201+T5W
,,,,,OK,NG
13-07-2020  20:53:31,,Global,0T73I201+T5W
,0.9 ,,,,8.58,7.48,8.95,8.10,OK,OK
13-07-2020  20:54:37,,Global,0T73I201+T5W
,,,,,8.58,7.48,8.95,8.10,OK,OK
13-07-2020  20:56:14,,Global,0T73I201+T5W
,0.9 ,0.1 ,,,8.58,7.48,8.95,8.10,OK,OK
14-07-2020  13:30:25,,Global,,,,,,NG,NG
14-07-2020  13:31:29,,Global,0T73I201+T5W
,0.1 ,,,,OK,NG
14-07-2020  13:35:43,,Global,0T73I201+T5W
,0.9 ,,,,OK,NG
14-07-2020  13:38:05,,Global,,,,,,NG,NG
14-07-2020  13:38:59,,Global,0T73I201+T5W
,0.1 ,,,,OK,NG
14-07-2020  13:49:48,,Global,0T73I201+T5W
,0.1 ,,,,OK,NG
14-07-2020  13:54:21,,Global,0T73I201+T5W
,0.1 ,,,,OK,NG
14-07-2020  14:24:23,,Global,,,,,,10.22,10.23,11.00,10.09,NG,OK
14-07-2020  14:27:40,,Global,0T73I201+T5W
,0.9 ,0.5 ,0.5 ,,10.22,10.23,11.00,10.09,OK,OK
14-07-2020  14:44:21,,Global,,,,,,10.22,10.23,11.00,10.09,NG,OK
14-07-2020  14:44:49,,Global,,,,,,10.22,10.23,11.00,10.09,NG,OK
14-07-2020  14:45:25,,Global,,,,,,10.22,10.23,11.00,10.09,NG,OK
14-07-2020  15:04:42,,Global,,,,,,10.06,9.95,11.05,9.96,NG,OK
14-07-2020  15:05:26,,Global,,,,,,10.06,9.95,11.05,9.96,NG,OK
14-07-2020  15:13:50,,Global,0T73I201+T5W
,0.9 ,,,,10.06,9.95,11.05,9.96,NG,OK
14-07-2020  15:38:07,,Global,0T73I201+T5W
,0.9 ,0.1 ,,,10.06,9.95,11.05,9.96,OK,OK
14-07-2020  15:50:08,,Global,0T73I201+T5W
,0.9 ,0.2 ,,,10.06,9.95,11.05,9.96,OK,OK
